Language : 한국어 | English

Gamepad_Title : 게임 조작 방법 | CONTROLS
Gamepad_Cancel : 취소 | Cancel
Gamepad_Confirm : 확인 | Confirm
Gamepad_Move : 이동 | Move

Resolution_Title : 해상도 설정 | GRAPHICS
Resolution_Fullscreen : 전체화면 | Fullscreen
Sound_Title : 소리 설정 | VOLUME
Sound_BGM : 배경 음악 | Music
Sound_SFX : 효과음 | Sound Effect
Exit_Character : 캐릭터 선택 | Character Select
Exit_Map : 맵 선택 | Stage Select
Exit_Game : 게임 종료 | Exit Game

Control_Title : 조작키 | CONTROLS
Control_Character : 캐릭터 선택 | Select Character
Control_Ready : 준비 | Ready
Control_Cancel : 취소 | Cancel
Control_Settings : 설정 | Settings

MapSelect_Title : 맵 선택 | STAGE SELECT
MapSelect_LStick : 맵 선택 | Navigate
MapSelect_SelectButton : 입장 | Select
MapSelect_SettingButton : 설정 | Settings
MapSelect_Description_Title : 스테이지 설명 | Stage Topic
MapSelect_Description_DataStructure : 이 스테이지에서는<br><br>자료구조(리스트, 스택, 큐)를<br><br>배우게 될 것입니다! | In this stage,<br><br>You will learn about Stack, List and Queue!
MapSelect_Description_Greedy : 이 스테이지에서는<br><br>그리디 알고리즘을<br><br>배우게 될 것입니다! | In this stage,<br><br>You will learn about Greedy Algorithm!
MapSelect_Description_Tree : 이 스테이지에서는<br><br>트리(순회, 구조)를<br><br>배우게 될 것입니다! | In this stage,<br><br>You will learn about Tree Data Structure!
MapSelect_Description_Sorting : 이 스테이지에서는<br><br>정렬(버블, 선택, 삽입)을<br><br>배우게 될 것입니다! | In this stage,<br><br>You will learn about Sorting Algorithm!

GameOver_Retry : 다시하기 | Retry
GameOver_StageSelect : 스테이지 선택 | Stage Select

Winner_Start : 최종 우승자는 | The winner is
Winner_Reveal_1 : 우승자는 | The winner is
Winner_Reveal_2 : 입니다! | !

Result_Incorrect : 오답률 | Incorrect
Result_Accuracy : 공격 성공률 | Aim Accuracy
Result_Critical : 치명타 | Critical
Result_Exit : 맵 선택으로 돌아가려면 아무 키나 누르세요! | Press any key to return to stage select!

ProblemMode_Attack : 공격 | Shoot

List_Guide : 리스트 A의 요소를 맞혀보세요! | Guess the correct element from the List!
Queue_Guide : <color=red>화살표</color>에 위치한 알맞은 야채를 맞혀보세요! | Guess the vegetable located at the <color=red>arrow</color>!
Stack_Guide : 최종 스택의 상태를 맞혀보세요! | Guess the final state of the Stack!

Coin_Guide : 금액을 지불할<br>최소의 동전 개수를 맞혀보세요! | Guess the <color=red>minimum number</color> of coins to pay!
Kruskal_Guide : 다음에 선택될 길로 이어진 집을<br>맞혀보세요! | Guess the next path<br>according to Kruskal's Algorithm!
Lecture_Guide : 겹치지 않게 배정할 수 있는<br><color=red>최대</color> 강의  개수를 맞혀보세요! | Guess the <color=red>max number</color> of<br>assignable classes within this timeline!

TreeFamily_1 : 문제를 보고<br>어떤 노드인지 맞혀보세요! | Guess the correct node!
TreeFamily_2 : 의 # 노드는? | Guess the # node!@40
TreeFamily_3 : 부모,자식,형제 | Parent,Child,Sibling

WhatOrder : 순회 결과를 보고<br>어떤 순회인지 맞혀보세요! | Guess the name<br>of the shown algorithm!

FillOrder : 순회 방식을 보고 빈칸을 채워보세요! | Guess the traversal order<br>according to the algorithm!
FillOrder_Preorder : 전위순회 | Preorder@40
FillOrder_Inorder : 중위순회 | Inorder@40
FillOrder_Postorder : 후위순회 | Postorder@40
FillOrder_LevelOrder : 레벨순회 | Level Order@40

FillSorting : 중간 단계의 정렬 결과를 보고<br>빈칸을 채워보세요! | Guess the blank<br>after the sort!

HowMaySteps : 몇 단계 정렬한 결과인지<br>맞혀보세요! | Guess how many steps<br>have been completed!

WhatSorting : 정렬 과정을 보고<br>어떤 정렬인지 맞혀보세요! | Guess the name<br>of the shown algorithm!
AnswerSort : 버블<br>정렬,삽입<br>정렬,선택<br>정렬 | Bubble<br>Sort,Insertion<br>Sort,Selection<br>Sort
OtherSort : 힙<br>정렬,합병<br>정렬,퀵<br>정렬,힙<br>정렬,쉘<br>정렬,기수<br>정렬 | Heap<br>Sort,Merge<br>Sort,Quick<br>Sort,Heap<br>Sort,Shell<br>Sort,Radix<br>Sort
